Provider Name,Zip Code,Service Area,Service Area (SA),Provider Classification,Programs/Services,Age Group Served,Language/Cultures,Operation,Phone Number,Location 1
EL CENTRO AMISTAD-SAN FERNANDO,91340,2,SA 2 San Fernando Valley,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH,  MEDICATION SUPPORT, MENTAL HEALTH SERVICES, SPECIALIZED FOSTER CARE",CHILD/TAY,"ENGLISH, KOREAN, PUNJABI, SPANISH",NGA,(818) 898-0223 / FAX (818) 361-05384,"566 SOUTH BRAND BLVD.
SAN FERNANDO, California 91340
(34.27870690700007, -118.44360221099998)"
SAN FERNANDO VALLEY CMHC-MACDONALD CAREY CENTER,91606,2,SA 2 San Fernando Valley,OUTPATIENT,"CALWORKS, CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",ADULT,"ARMENIAN, ENGLISH, FARSI, FRENCH, RUSSIAN, SPANISH, VIETNAMESE",NGA,(818) 908-3855,"11631 VICTORY BLVD. STE. 203
NORTH HOLLYWOOD, California 91606
(34.18670757500007, -118.38527946699998)"
HATHAWAY SYCAMORES CHILD FAMILY SERVICES,91331,2,SA 2 San Fernando Valley,OUTPATIENT,"FCCS, FSP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",CHILD/TAY,"ARMENIAN, BULGARIAN, CANTONESE, ENGLISH, FRENCH, GERMAN, GREEK, HUNGARIAN, ILOCANO, KOREAN, MANDARIN, PUNJABI, ROMANIAN, RUSSIAN, SERBO-CROATIAN, SPANISH, TAGALOG, TAIWANESE, TURKISH",NGA,(818) 897-7565,"12510 VAN NUYS BLVD.
PACOIMA, California 91331
(34.278386573000034, -118.40520241899998)"
THE HELP GROUP-PACIFIC RIDGE,91405,2,SA 2 San Fernando Valley,OUTPATIENT,"DAY REHABILITATION, DAY TREATMENT, FSP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",ADULT/CHILD/TAY,"ARABIC, ENGLISH, FRENCH, HEBREW, JAPANESE, RUSSIAN, SPANISH",NGA,(818) 267-2646,"15339 SATICOY
VAN NUYS, California 91405
(34.20847167100004, -118.45708333299996)"
SAN FERNANDO VALLEY CMHC-YOUTH CONTACT FCCS,91405,2,SA 2 San Fernando Valley,OUTPATIENT,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"ENGLISH, SPANISH",NGA,(818) 901-4879,"14550 SHERMAN WAY
VAN NUYS, California 91405
(34.20115257900005, -118.45022898399998)"
PACIFIC LODGE YOUTH SERVICES,91364,2,SA 2 San Fernando Valley,OUTPATIENT,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PEI, PSYCHOLOGICAL TESTING, TARGETED CASE MANAGEMENT, THERAPEUTIC BEHAVIORAL SERVICES",CHILD/TAY,"ENGLISH, FARSI, FINNISH, SPANISH, TAGALOG",NGA,(818) 347-1577,"4900 SERRANIA AVE.
WOODLAND HILLS, California 91364
(34.15916227800005, -118.58832650199997)"
USC VERDUGO HILLS HOSPITAL,91208,2,SA 2 San Fernando Valley,INPATIENT,24 HR ACUTE,ADULT,ENGLISH,FFS,(818) 952-2270,"1812 VERDUGO BLVD.
GLENDALE, California 91208
(34.205632699000034, -118.21529913599994)"
TOPANGA WEST GUEST HOME,91304,2,SA 2 San Fernando Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, WELLNESS CENTER",ADULT,"ENGLISH, RUSSIAN, SPANISH",NGA,(818) 884-8100,"22115 ROSCOE BLVD.
CANOGA PARK, California 91304
(34.21962826600003, -118.60893967199996)"
EL DORADO-VAN NUYS MEDICAL,91411,2,SA 2 San Fernando Valley,OUTPATIENT,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",ADULT/CHILD/TAY,"ENGLISH, SPANISH",FFS,(818) 779-0555,"6265 SEPULVEDA BLVD.
VAN NUYS, California 91411
(34.18493075600003, -118.46622265499997)"
SAN FERNANDO VALLEY CMHC-CENTER FOR FAMILY LIVING,91405,2,SA 2 San Fernando Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, FSP, MEDICATION SUPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",ADULT,"ENGLISH, FARSI, INDONESIAN, SPANISH, VIETNAMESE",NGA,(818) 901-4854,"14545 SHERMAN CIRCLE
VAN NUYS, California 91405
(34.200294642000074, -118.44983079199994)"
PENNY LANE CENTERS,91606,2,SA 2 San Fernando Valley,OUTPATIENT,"CASE MANAGEMENT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"ARABIC, ARMENIAN, ENGLISH, HEBREW, KOREAN, SPANISH",NGA,818-755-4950/ Fax 818-752-0783,"10526 DUBNUFF WAY
NORTH HOLLYWOOD, California 91606
(34.18666263600005, -118.36077965099997)"
PACIFIC CLINICS-HYE WRAP PROGRAM,91203,2,SA 2 San Fernando Valley,OUTPATIENT,"FCCS, FSP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",CHILD/TAY,"AFGHAN, ARMENIAN, ENGLISH, KOREAN, PASHTO, RUSSIAN, SPANISH",NGA,(818) 547-9544,"237 NORTH CENTRAL AVE. STE. C
GLENDALE, California 91203
(34.14916352000006, -118.25795541699995)"
EOB CRISIS & HOMELESS-SAN FERNANDO,91344,2,SA 2 San Fernando Valley,OUTPATIENT,"CRISIS INTERVENTION, MENTAL HEALTH SERVICES",ADULT/CHILD/TAY,"AMERICAN SIGN, ARMENIAN, BENGALI, CANTONESE, ENGLISH, FARSI, FRENCH, HEBREW, HINDI, IBO, ILOCANO, KOREAN, MANDARIN, RUSSIAN, SPANISH, TAGALOG, UKRAINE, VIETNAMESE, YORUBA",DMH,(818) 832-2410,"10605 BALBOA BLVD. STE. 100
GRANADA HILLS, California 91344
(34.262680971000066, -118.50231212199998)"
SPECIALIZED FOSTER CARE-SANTA CLARITA,91355,2,SA 2 San Fernando Valley,OUTPATIENT,"DCFS REFERRED, FIELD-BASED THERAPY, MENTAL HEALTH SERVICES, TREATMENT AND LINKAGE",CHILD/TAY,"ENGLISH, SPANISH",NGA,(661) 702-6420,"28490 AVE. STANFORD. #100
SANTA CLARITA, California 91355
(34.44068546600005, -118.59915564699998)"
PHOENIX HOUSE OF L.A. INC.,91342,2,SA 2 San Fernando Valley,OUTPATIENT,"DAY REHABILITATION, DUAL DIAGNOSIS, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, OUTPATIENT SUBSTANCE ABUSE GROUPS, PEI, THERAPEUTIC BEHAVIORAL SERVICES",CHILD/TAY,"ENGLISH, FRENCH",NGA,(818) 896-1121,"11600 ELDRIDGE AVE.
LAKE VIEW TERRRACE, California 91342
(34.28101892400008, -118.38451675399995)"
CORNERSTONE STREET TO HOME,91411,2,SA 2 San Fernando Valley,OUTPATIENT,"AB109, CRISIS INTERVENTION, FSP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, TARGETED CASE MANAGEMENT",ADULT,"ENGLISH, SPANISH",NGA,(818) 901-4836,"14660 OXNARD ST.
VAN NUYS, California 91411
(34.17935794400006, -118.45223453399996)"
EL DORADO-SANTA CLARITA,91350,2,SA 2 San Fernando Valley,OUTPATIENT,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",ADULT,ENGLISH,FFS,(661) 254-6030,"26460 SUMMIT CIRCLE
SANTA CLARITA, California 91350
(34.41193603500005, -118.50851254999998)"
THE VILLAGE FAMILY SERVICES,91606,2,SA 2 San Fernando Valley,OUTPATIENT,MENTAL HEALTH SERVICES,TAY,"ENGLISH, SPANISH",NGA,(818) 755-8786,"6801 COLD WATER CANYON BLVD. STE. 1-E
NORTH HOLLYWOOD, California 91606
(34.186731132000034, -118.38680620899999)"
ENCINO HOSPITAL MEDICAL CENTER,91436,2,SA 2 San Fernando Valley,INPATIENT,24 HR ACUTE,ADULT,ENGLISH,FFS,(818) 995-5138,"16237 VENTURA BLVD.
ENCINO, California 91436
(34.15681738400008, -118.48673557599994)"
PRIMER PASO BRIDGES INC.,91306,2,SA 2 San Fernando Valley,RESIDENTIAL,"CASE MANAGEMENT, MEDICATION SUPPORT, RESIDENTIAL, TRANSITIONAL RESIDENTIAL",CHILD/TAY,ENGLISH,NGA,(818) 999-0143,"20401 ROSCOE BLVD.
CANOGA PARK, California 91306
(34.22015831600004, -118.57786954499994)"
SAN FERNANDO VALLEY CMHC-HOMEBOUND,91405,2,SA 2 San Fernando Valley,OUTPATIENT,"MENTAL HEALTH SERVICES, PEI",OLDER ADULT,"ARABIC, ARMENIAN, ENGLISH, FARSI, FRENCH, GERMAN, KOREAN, MANDARIN, SPANISH",NGA,(818) 374-6901,"14600 SHERMAN WAY STE. 100D
VAN NUYS, California 91405
(34.20115257900005, -118.45159904699995)"
CHILD & FAMILY GUIDANCE CENTER-BALBOA,91343,2,SA 2 San Fernando Valley,COMMUNITY OUTREACH,"CASE MANAGEMENT, COMMUNITY OUTREACH, CRISIS INTERVENTION, MENTAL HEALTH SERVICES, SPECIALIZED FOSTER CARE",CHILD/TAY,"ARMENIAN, CANTONESE, DANISH, ENGLISH, FRENCH, GERMAN, HEBREW, HINDI, ITALIAN, JAPANESE, KOREAN, MANDARIN, NORWEGIAN, PORTUGUESE, SAMOAN, SPANISH, SWAHILI, TAGALOG, THAI, VIETNAMESE",NGA,(818) 830-0200,"16861 PARTHENIA ST.
NORTH HILLS, California 91343
(34.22850775000006, -118.50024953699995)"
SAN FERNANDO VALLEY CMHC-CSOC FCCS,91401,2,SA 2 San Fernando Valley,OUTPATIENT,"CASE MANAGEMENT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, SPECIALIZED FOSTER CARE",CHILD/TAY,"ENGLISH, RUSSIAN, SPANISH, TAGALOG",NGA,(818) 908-4999,"6305 WOODMAN AVE.
VAN NUYS, California 91401
(34.18498145600006, -118.43130275499999)"
WEST VALLEY MHC WELLNESS CENTER,91304,2,SA 2 San Fernando Valley,OUTPATIENT,"FIELD CAPABLE CLINICAL SERVICES, INDIVIDUAL/GROUP REHABILITATION, INDIVIDUAL/GROUP THERAPY, MEDICATION SUPPORT, PEER SUPPORT",ADULT/OLDER ADULT,"ENGLISH, FARSI, SPANISH",DMH,(818) 610-6700,"6800 OWENSMOUTH
CANOGA PARK, California 91304
(34.221902267000075, -118.60185029299998)"
WEST VALLEY MENTAL HEALTH CENTER,91304,2,SA 2 San Fernando Valley,OUTPATIENT,"FIELD CAPABLE CLINICAL SERVICES, INDIVIDUAL/GROUP REHABILITATION, INDIVIDUAL/GROUP THERAPY, MEDICATION SUPPORT, PEER SUPPORT",ADULT/OLDER ADULT,"ARMENIAN, ENGLISH, FARSI, HINDI, RUSSIAN, SPANISH",DMH,(818) 598 6900,"7621 CANOGA AVE.
CANOGA PARK, California 91304
(34.20899040000006, -118.59754245199997)"
VALLEY COORDINATED CHILDREN'S SERVICES,91335,2,SA 2 San Fernando Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS ASSESSMENT, CRISIS INTERVENTION, CRISIS MANAGEMENT, CRISIS STABILIZATION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",CHILD/TAY,"ENGLISH, FARSI, SINGHALESE, SPANISH",DMH,(818) 708-4500,"19231 VICTORY BLVD. STE. 110
RESEDA, California 91335
(34.186598108000055, -118.55218979199998)"
SPECIALIZED FOSTER CARE-EL MONTE,91732,3,SA 3 San Gabriel Valley,OUTPATIENT,MENTAL HEALTH SERVICES,CHILD/TAY,"ENGLISH, SPANISH",DMH,(626) 455-4668,"4024 NORTH DURFEE AVE.
EL MONTE, California 91732
(34.07352584600005, -118.00648064699999)"
SAN FERNANDO VALLEY CMHC-CORNERSTONE,91411,2,SA 2 San Fernando Valley,COMMUNITY OUTREACH,"CASE MANAGEMENT, COMMUNITY OUTREACH, DUAL DIAGNOSIS, MENTAL HEALTH SERVICES",ADULT,"ENGLISH, SPANISH",NGA,(818) 901-4836,"14660 OXNARD ST.
VAN NUYS, California 91411
(34.17935794400006, -118.45223453399996)"
HATHAWAY SYCAMORES CHILD AND FAMILY SERVICES,93534,1,SA 1 Antelope Valley,OUTPATIENT,"0-5 MENTAL HEALTH SERVICES, CASE MANAGEMENT, CO-OCCURRING DISORDERS, EBP- SS, EBP-TF_CBT, IN-HOME MENTAL HEALTH SERVICES, MAP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHIATRY, PSYCHOLOGICAL TESTING, TBS, WRAPAROUND",CHILD/TAY,"ENGLISH, GERMAN, JAPANESE, KOREAN, SPANISH",NGA,(661) 942-5749,"44738 SIERRA HIGHWAY
LANCASTER, California 93534
(34.695215301000076, -118.13639696499996)"
SPECIALIZED FOSTER CARE-LANCASTER,93535,1,SA 1 Antelope Valley,OUTPATIENT,"0-5 MENTAL HEALTH SERVICES, CASE MANAGEMENT, MENTAL HEALTH SERVICES, PROVIDER LINKAGE, PSYCHOLOGICAL TESTING",CHILD/TAY,"ENGLISH, SPANISH",DMH,(661) 471-1164,"300 EAST AVE. K-6
LANCASTER, California 93535
(34.669452584000055, -118.12579942899998)"
EOB CRISIS HOMELESS ANTELOPE,93550,1,SA 1 Antelope Valley,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH, CRISIS INTERVENTION, MENTAL HEALTH SERVICES, PROVIDER LINKAGE AND REFERRAL",ADULT/CHILD/OLDER ADULT/TAY,"ENGLISH, SPANISH, TAGALOG",DMH,(661) 223-3838,"2323-A EAST PALMDALE BLVD.
PALMDALE, California 93550
(34.580171377000056, -118.08596471799996)"
ALAFIA MENTAL HEALTH INSTITUTE,93534,1,SA 1 Antelope Valley,OUTPATIENT,"0-5 MENTAL HEALTH SERVICES, CASE MANAGEMENT, CRISIS INTERVENTION, EBP-CORS, EBP-TF_CBT, CPP, MAP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHIATRY, SPECIALIZED FOSTER CARE",CHILD/TAY,"ENGLISH, SPANISH",NGA,(661) 940-9094,"43845 10TH STREET WEST, STE. 2B
LANCASTER, California 93534
(34.68012962700004, -118.14795319999996)"
PROVIDENCE COMMUNITY SERVICES,93534,1,SA 1 Antelope Valley,OUTPATIENT,"0-5 MENTAL HEALTH SERVICES, CASE MANAGEMENT, INTENSIVE IN-HOME SERVICES, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHIATRY",CHILD/TAY,"ARMENIAN, ENGLISH, FRENCH, SPANISH",NGA,(661) 341-3900; FAX: (661) 341-3904,"44285 LOWTREE ST.
LANCASTER, California 93534
(34.68797090500004, -118.15411329799997)"
HERITAGE CLINIC-PALMDALE,93551,1,SA 1 Antelope Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MENTAL HEALTH SERVICES",OLDER ADULT,"ENGLISH, SPANISH",NGA,(661) 575-9365,"1037 W. AVENUE N, STE. 205
PALMDALE, California 93551
(34.63123831000007, -118.14899947099997)"
CHILD BUREAU OF SOUTHERN CA-PALMDALE,93550,1,SA 1 Antelope Valley,OUTPATIENT,"0-5 MENTAL HEALTH SERVICES, ADOPTION, CASE MANAGEMENT, CRISIS INTERVENTION, FOSTER CARE, MEDICATION SUPPORT SERVICES, MENTAL HEALTH SERVICES, SCHOOL BASED MENTAL HEALTH",CHILD/TAY,"ENGLISH, HEBREW, SPANISH, TAGALOG",NGA,(661) 272-9996,"1529 EAST PALMDALE BLVD. STE. 210
PALMDALE, California 93550
(34.57966336700008, -118.10242203699994)"
CHALLENGER MENTAL HEALTH UNIT,93536,1,SA 1 Antelope Valley,JUVENILE JUSTICE,"CASE MANAGEMENT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",TAY,"ENGLISH, SPANISH",DMH,(661) 297-1691,"5300 WEST AVE. I
LANCASTER, California 93536
(34.704053302000034, -118.22364889699998)"
PDP WHITE MEMORIAL MEDICAL CENTER,90033,4,SA 4 Metro,INPATIENT,24 HR ACUTE,ADULT,ENGLISH,NGA,(323) 268-5000,"1720 CESAR E. CHAVEZ AVE
LOS ANGELES, California 90033
(34.05085470100005, -118.21691150499998)"
AV WELLNESS & ENRICHMENT CENTER,93535,1,SA 1 Antelope Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, DAY TREATMENT, INDIVIDUAL PEER SUPPORT SERVICES, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, OUTREACH AND ENGAGEMENT, PEER SUPPORT GROUPS, THERAPY/REHABILITATION GROUPS",ADULT,"ENGLISH, SPANISH",DMH,(661) 974-8400; (661) 720-2186,"251-H E. AVE. K-6
LANCASTER, California 93535
(34.669503733000056, -118.12618039599994)"
PALMDALE MENTAL HEALTH CENTER,93550,1,SA 1 Antelope Valley,COMMUNITY OUTREACH,"CALWORKS, CASE MANAGEMENT, COMMUNITY OUTREACH, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHIATRIC EVALUATION AND ASSESSMENT",ADULT,"ENGLISH, SPANISH, TAGALOG",DMH,(661) 575-1800,"1529 EAST PALMDALE BLVD. STE. 150
PALMDALE, California 93550
(34.57966336700008, -118.10242203699994)"
CHILDREN'S CENTER OF ANTELOPE VALLEY,93534,1,SA 1 Antelope Valley,OUTPATIENT,"0-5 MENTAL HEALTH SERVICES, CASE MANAGEMENT, CRISIS INTERVENTION, EBP-TF_CBT, ICBT, MANAGING AND ADAPTING PRACTICES, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE, THERAPEUTIC BEHAVIORAL SERVICES",CHILD/TAY,"AMERICAN SIGN, ENGLISH, SPANISH, TAGALOG, ARMENIAN",NGA,(661) 949-1206,"45111 FERN AVE.
LANCASTER, California 93534
(34.70147919200008, -118.14520701999999)"
CHILD AND FAM GUIDANCE CENTER-PALMDALE,93551,1,SA 1 Antelope Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, FAMILY PRESERVATION, FIELD CAPABLE CLINICAL SERVICES, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SCHOOL BASED, SPECIALIZED FOSTER CARE, THERAPEUTIC BEHAVIORAL SERVICES, WRAPAROUND",CHILD/TAY,"AMERICAN SIGN, ENGLISH, FARSI, FRENCH, HEBREW, HINDI, OTHER CHINESE, PORTUGUESE, SPANISH",NGA,(661) 265-8627,"40005 10th ST WEST, STE. 106
PALMDALE, California 93551
(34.609730970000044, -118.14775270299998)"
TARZANA TREATMENT CENTER INC.,93534,1,SA 1 Antelope Valley,OUTPATIENT,"AB109, CASE MANAGEMENT, CO-OCCURRING DISORDERS, CRISIS INTERVENTION, EBP-SS, EBP-TF_CBT, ICBT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHIATRY, WRAPAROUND",ADULT/CHILD/TAY,"ENGLISH, SPANISH",NGA,(661) 726-2630,"44443 NORTH 10TH ST. WEST
LANCASTER, California 93534
(34.69076651900008, -118.14806568599994)"
OPTIMIST YOUTH HOMES-PALMDALE,93551,1,SA 1 Antelope Valley,OUTPATIENT,"CASE MANAGEMENT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",CHILD/TAY,"ARABIC, ENGLISH, SPANISH",NGA,(661) 575-8395,"520 WEST PALMDALE BLVD. STE. D
PALMDALE, California 93551
(34.58437500900004, -118.14076065599994)"
ANTELOPE VALLEY MHS,93535,1,SA 1 Antelope Valley,OUTPATIENT,"CALWORKS, CASE MANAGEMENT, CRISIS INTERVENTION, GROUP THERAPY, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",ADULT,"CANTONESE, ENGLISH, SPANISH",DMH,(661) 723-4260,"349 E. AVE. K-6 STE. A
LANCASTER, California 93535
(34.66950789400005, -118.12293946599999)"
MHA ANTELOPE VALLEY,93434,1,SA 1 Antelope Valley,OUTPATIENT,"CASE MANAGEMENT, CO-OCCURRING DISORDERS, FSP, HOMELESS AND VETERANS SERVICES, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",ADULT/TAY,"ENGLISH, SPANISH, TAGALOG, VIETNEMESE, VETERANS",NGA,(661) 726-2850,"506 WEST JACKMAN ST.
LANCASTER, California 93434
(34.70190957900007, -118.13777724199997)"
PALMDALE DISCOVER CENTER,93550,1,SA 1 Antelope Valley,COMMUNITY OUTREACH,"COMMUNITY OUTREACH, MENTAL HEALTH SERVICES, PEER SUPPORT",ADULT,"ENGLISH, SPANISH",NGA,(661) 947-1595,"1609 EAST PALMDALE STE. G
PALMDALE, California 93550
(34.57967830800004, -118.10083985299997)"
PENNY LANE CENTERS,93534,1,SA 1 Antelope Valley,OUTPATIENT,"0-5 MENTAL HEALTH SERVICES, CALWORKS, DUAL DIAGNOSIS, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE, TBS, WRAPAROUND",ADULT/CHILD/TAY,"ARABIC, ENGLISH, FARSI, HEBREW, HMONG, KOREAN, LEBANESE, SPAINSH, UKRANIAN",NGA,(661) 266-4783,"43520 DIVISION ST.
LANCASTER, California 93534
(34.67351095600003, -118.130133866)"
ANTELOPE VALLEY HOSPITAL,93534,1,SA 1 Antelope Valley,INPATIENT,"ADULT MENTAL HEALTH UNIT, CASE MANAGEMENT, CRISIS INTERVENTION, INDIVIDUAL AND GROUP THERAPY, INPATIENT ADULT MENTAL HEALTH/PSYCHIATRIC SERVICES, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOSOCIAL ASSESSMENTS",ADULT,"ENGLISH, SPANISH",FFS,(661) 949-5411; (661) 949-5000,"1600 W AVENUE J
LANCASTER, California 93534
(34.68939282100007, -118.15849081699997)"
ANTELOPE VALLEY KIDZ CONN SFC,93550,1,SA 1 Antelope Valley,OUTPATIENT,"0-5 MENTAL HEALTH SERVICES, CASE MANAGEMENT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"ENGLISH, SPANISH",DMH,(661) 223-3800,"2323 A PALMDALE BLVD.
PALMDALE, California 93550
(34.580171377000056, -118.08596471799996)"
HATHAWAY SYCAMORES,91104,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, FSP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",CHILD/TAY,"ENGLISH, SPANISH",NGA,(626) 395-7100,"851 NORTH OAKLAND AVE.
PASADENA, California 91104
(34.16044750900005, -118.14033758199997)"
PROTOTYPES I-CAN,91731,3,SA 3 San Gabriel Valley,OUTPATIENT,"CALWORKS, CRISIS INTERVENTION, HOMELESS CALWORKS FAMILIES PROJECT (HCFP), INTENSIVE CASE MANAGEMENT, MENTAL HEALTH SERVICES, PEI",ADULT/CHILD/TAY,"BURMESE, ENGLISH, GERMAN, MANDARIN, SPANISH, THAI, VIETNAMESE",NGA,(626) 442-0710,"11001 VALLEY MALL STE. 300
EL MONTE, California 91731
(34.073826591000056, -118.03517707399999)"
BRIDGES INC.,91767,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, HOUSING, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",ADULT,"ENGLISH, SPANISH",NGA,(909) 623-6651,"1977 N. GAREY AVE. #6
POMONA, California 91767
(34.082106888000055, -117.75289222699996)"
